query,model,document,similarity
Q,boolean,D1,1.0
Q,boolean,D2,0.0
Q,boolean,D3,0.0
Q,boolean,D4,0.0
Q,boolean,D5,0.0
Q,tfidf,D1,0.148963
Q,tfidf,D2,0.054638
Q,tfidf,D3,0.074416
Q,tfidf,D4,0.106954
Q,tfidf,D5,0.051214
Q,count,D1,0.0954
Q,count,D2,0.021775
Q,count,D3,0.080582
Q,count,D4,0.099473
Q,count,D5,0.051232
Q,bigram,D1,0.0
Q,bigram,D2,0.0
Q,bigram,D3,0.0
Q,bigram,D4,0.0
Q,bigram,D5,0.0
Q1,boolean,D1,1.0
Q1,boolean,D2,0.0
Q1,boolean,D3,0.0
Q1,boolean,D4,0.0
Q1,boolean,D5,0.0
Q1,tfidf,D1,0.148963
Q1,tfidf,D2,0.054638
Q1,tfidf,D3,0.074416
Q1,tfidf,D4,0.106954
Q1,tfidf,D5,0.051214
Q1,count,D1,0.0954
Q1,count,D2,0.021775
Q1,count,D3,0.080582
Q1,count,D4,0.099473
Q1,count,D5,0.051232
Q1,bigram,D1,0.0
Q1,bigram,D2,0.0
Q1,bigram,D3,0.0
Q1,bigram,D4,0.0
Q1,bigram,D5,0.0
